分支,所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段
,/登录,京东app扫码登录,已下载京东app，并在app登录,"1. 打开京东app
2. 点击右上角扫码
3. 扫描京东登录页二维码",登录成功,,,功能测试,功能测试阶段
,,淘宝app扫码登录,用其他app扫码登录,"1. 打开淘宝app
2. 点击右上角扫码
3. 扫描京东登录页二维码",登录失败，打开第三方浏览器，进入下载京东app页面,,,功能测试,功能测试阶段
,,京东app登录失效时扫码登录,session失效后扫码,"1. 打开京东app
2.京东app登录状态失效
2. 点击右上角扫码
3. 扫描京东登录页二维码",登录失败，提示重新登录,,,功能测试,功能测试阶段
,,无网络下扫码京东app登录,无网络下扫码二维码,"1. 打开京东app
2.手机无网络状态
2. 点击右上角扫码
3. 扫描京东登录页二维码",登录失败，提示无法获取信息,,,功能测试,功能测试阶段
,,qq第三方扫码登录,已下载qq app，并在app登录，已绑定京东账户,"1. 打开qq app
2. 点击扫码
3. 扫描qq第三方二维码",登录成功,,,功能测试,功能测试阶段
,,微信第三方扫码登录,已下载微信 app，并在app登录，已绑定京东账户,"1. 打开微信 app
2. 点击扫码
3. 扫描微信第三方二维码",登录成功,,,功能测试,功能测试阶段
,,qq第三方扫码登录-未绑定京东账户,已下载qq app，并在app登录，qq app未绑定京东账户,"1. 打开qq app
2. 点击扫码
3. 扫描qq第三方二维码",登录成功，提示绑定京东账户,,,功能测试,功能测试阶段
,,微信第三方扫码登录-未绑定京东账户,已下载微信 app，并在app登录，微信 app未绑定京东账户,"1. 打开微信 app
2. 点击扫码
3. 扫描qq第三方二维码",登录成功，提示绑定京东账户,,,功能测试,功能测试阶段
,,使用支付宝app对qq第三方扫码登录,其他第三方app扫码登录,"1. 打开支付宝app
2. 点击扫码
3. 扫描qq第三方二维码",登录失败,,,功能测试,功能测试阶段
,,使用支付宝app对微信第三方扫码登录,其他第三方app扫码登录,"1. 打开支付宝app
2. 点击扫码
3. 扫描微信第三方二维码",登录失败,,,功能测试,功能测试阶段
,,无网络下对qq第三方扫码登录,无网络下扫码二维码,"1. 打开qq或微信app
2.手机处于无网络状态
3. 点击扫码
4. 扫描qq第三方二维码",登录失败,,,功能测试,功能测试阶段
,,无网络下对微信第三方扫码登录,无网络下扫码二维码,"1. 打开支付宝app
2.手机处于无网络状态
3. 点击扫码
4. 扫描微信第三方二维码",登录失败,,,功能测试,功能测试阶段
,,非正常用户名密码登录,,"1.点击账户登录
2.账户框输入8sdfj;&*%
3.密码框输入123456
4.点击登录",登录失败，提示账户不存在,,,功能测试,功能测试阶段
,,超长字符登录(25位),,"1.点击账户登录
2.账户框输入abcdefghijklmnopqrstuvwxy
3.密码框输入123456
4.点击登录",登录失败，提示账户不存在,,,功能测试,功能测试阶段
,,边界长度登录(24位）,,"1.点击账户登录
2.账户框输入abcdefghijklmnopqrstuvwx
3.密码框输入123456
4.点击登录",无提示,,,功能测试,功能测试阶段
,,万能密码登录,,"1.点击账户登录
2.账户框输入' or 1='1
3.密码框输入123456
4.点击登录",登录失败,,,功能测试,功能测试阶段
,,置空登录-账户框为空,,"1.点击账户登录
2.账户框青清空
3.密码框输入123456
4.点击登录",登录失败，提示请输入账户名,,,功能测试,功能测试阶段
,,置空登录-密码框为空,,"1.点击账户登录
2.账户框输入15575184187
3.密码框清空
4.点击登录",登录失败，提示请输入密码,,,功能测试,功能测试阶段
,,置空登录-登录、密码框皆为为空,,"1.点击账户登录
2.账户框清空
3.密码框清空
4.点击登录",登录失败，提示请输入账户名和密码,,,功能测试,功能测试阶段
,,正确邮箱、正确密码登录,,"1.点击账户登录
2.账户框输入1492389250@qq.com
3.密码框输入huanglihua123456
4.点击登录",登录成功,,,功能测试,功能测试阶段
,,正确邮箱、错误密码登录,,"1.点击账户登录
2.账户框输入1492389250@qq.com
3.密码框输入123456
4.点击登录",登录失败，提示账户名与密码不匹配,,,功能测试,功能测试阶段
,,错误邮箱、错误密码登录,,"1.点击账户登录
2.账户框输入adfc50@qq.com
3.密码框输入123456
4.点击登录",登录失败，提示账户不存在,,,功能测试,功能测试阶段
,,错误邮箱、正确密码登录,,"1.点击账户登录
2.账户框输入abc0@qq.com
3.密码框输入huanglihua123456
4.点击登录",登录失败，提示账户不存在,,,功能测试,功能测试阶段
,,正确手机、正确密码登录,,"1.点击账户登录
2.账户框输入15575184187
3.密码框输入huanglihua123456
4.点击登录",登录成功,,,功能测试,功能测试阶段
,,正确手机、错误密码登录,,"1.点击账户登录
2.账户框输入15575184187
3.密码框输入123456
4.点击登录",登录失败，账户名与密码不匹配,,,功能测试,功能测试阶段
,,错误手机、错误密码登录,,"1.点击账户登录
2.账户框输入1555555587
3.密码框输入123456
4.点击登录",登录失败，提示账户不存在,,,功能测试,功能测试阶段
,,错误手机、正确密码登录,,"1.点击账户登录
2.账户框输入1555555587
3.密码框输入huanglihua123456
4.点击登录",登录失败，提示账户不存在,,,功能测试,功能测试阶段
,,正确用户名、正确密码登录,,"1.点击账户登录
2.账户框输入holiva
3.密码框输入huanglihua123456
4.点击登录",登录成功,,,功能测试,功能测试阶段
,,正确用户名、错误密码登录,,"1.点击账户登录
2.账户框输入holiva
3.密码框输入123456
4.点击登录",登录失败，账户名与密码不匹配,,,功能测试,功能测试阶段
,,错误用户名、错误密码登录,,"1.点击账户登录
2.账户框输入holiva00445
3.密码框输入123456
4.点击登录",登录失败，提示账户不存在,,,功能测试,功能测试阶段
,,错误用户名、正确密码登录,用户名不存在,"1.点击账户登录
2.账户框输入holiva00445
3.密码框输入huanglihua123456
4.点击登录",登录失败，提示账户不存在；,,,功能测试,功能测试阶段
